# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00051.txt
#       2th_deg             I 
  1.557975e-03    3.612970e+00
  4.673925e-03    3.261467e-02
  7.789875e-03    2.175153e+00
  1.090582e-02    5.101010e+00
  1.402177e-02    8.101061e+00
  1.713772e-02    5.265183e+00
  2.025367e-02    2.891709e+00
  2.336962e-02    1.813756e+00
  2.648557e-02    3.668155e+00
  2.960152e-02    3.599670e+00
  3.271747e-02    5.707205e+00
  3.583342e-02    6.833119e+00
  3.894937e-02    6.143823e+00
  4.206532e-02    5.444505e+00
  4.518127e-02    3.974351e+00
  4.829722e-02    4.187255e+00
  5.141317e-02    4.273089e+00
  5.452912e-02    7.340782e+00
  5.764507e-02    5.934709e+00
  6.076102e-02    2.655179e+00
  6.387697e-02    3.042988e+00
  6.699292e-02    6.249125e+00
  7.010887e-02    5.907280e+00
  7.322482e-02    3.543126e+00
  7.634077e-02    3.133326e+00
  7.945672e-02    4.822690e+00
  8.257267e-02    5.537551e+00
  8.568862e-02    5.147564e+00
  8.880457e-02    6.641363e+00
  9.192052e-02    6.501215e+00
  9.503647e-02    4.707908e+00
  9.815242e-02    4.343716e+00
  1.012684e-01    5.379342e+00
  1.043843e-01    6.262233e+00
  1.075003e-01    6.320910e+00
  1.106162e-01    7.302301e+00
  1.137322e-01    7.108456e+00
  1.168481e-01    6.658513e+00
  1.199641e-01    5.409941e+00
  1.230800e-01    5.200578e+00
  1.261960e-01    5.653462e+00
  1.293119e-01    5.818283e+00
  1.324279e-01    4.804655e+00
  1.355438e-01    5.046056e+00
  1.386598e-01    6.058844e+00
  1.417757e-01    6.490441e+00
  1.448917e-01    6.627483e+00
  1.480076e-01    6.136393e+00
  1.511236e-01    4.865807e+00
  1.542395e-01    5.700015e+00
  1.573555e-01    7.155249e+00
  1.604714e-01    8.398881e+00
  1.635874e-01    1.009179e+01
  1.667033e-01    1.227957e+01
  1.698193e-01    1.575872e+01
  1.729352e-01    1.723455e+01
  1.760512e-01    1.909055e+01
  1.791671e-01    2.151704e+01
  1.822831e-01    2.243762e+01
  1.853990e-01    2.389229e+01
  1.885150e-01    2.596721e+01
  1.916309e-01    2.805595e+01
  1.947469e-01    2.882347e+01
  1.978628e-01    3.041437e+01
  2.009788e-01    3.233762e+01
  2.040947e-01    3.447892e+01
  2.072107e-01    3.586030e+01
  2.103266e-01    3.750748e+01
  2.134426e-01    4.000970e+01
  2.165585e-01    4.213638e+01
  2.196745e-01    4.416376e+01
  2.227904e-01    4.530935e+01
  2.259064e-01    4.719204e+01
  2.290223e-01    4.923347e+01
  2.321383e-01    5.064975e+01
  2.352542e-01    5.190321e+01
  2.383702e-01    5.352360e+01
  2.414861e-01    5.626070e+01
  2.446021e-01    5.913417e+01
  2.477180e-01    6.146751e+01
  2.508340e-01    5.954274e+01
  2.539499e-01    5.867378e+01
  2.570659e-01    6.030675e+01
  2.601818e-01    6.358415e+01
  2.632978e-01    6.612387e+01
  2.664137e-01    6.778545e+01
  2.695297e-01    7.049512e+01
  2.726456e-01    7.320357e+01
  2.757616e-01    7.542109e+01
  2.788775e-01    7.701098e+01
  2.819935e-01    7.931973e+01
  2.851094e-01    8.172060e+01
  2.882254e-01    8.322169e+01
  2.913413e-01    8.382646e+01
  2.944573e-01    8.481749e+01
  2.975732e-01    8.590691e+01
  3.006892e-01    8.764984e+01
  3.038051e-01    8.864924e+01
  3.069211e-01    8.921452e+01
  3.100370e-01    9.005522e+01
  3.131530e-01    9.255732e+01
  3.162689e-01    9.419267e+01
  3.193849e-01    9.487718e+01
  3.225008e-01    9.528361e+01
  3.256168e-01    9.710175e+01
  3.287327e-01    9.805975e+01
  3.318487e-01    9.962354e+01
  3.349646e-01    1.005060e+02
  3.380806e-01    1.026805e+02
  3.411965e-01    1.052619e+02
  3.443125e-01    1.069908e+02
  3.474284e-01    1.071652e+02
  3.505444e-01    1.082454e+02
  3.536603e-01    1.101994e+02
  3.567763e-01    1.122324e+02
  3.598922e-01    1.143173e+02
  3.630082e-01    1.162412e+02
  3.661241e-01    1.188969e+02
  3.692401e-01    1.211678e+02
  3.723560e-01    1.220748e+02
  3.754720e-01    1.233772e+02
  3.785879e-01    1.248216e+02
  3.817039e-01    1.271383e+02
  3.848198e-01    1.287618e+02
  3.879358e-01    1.298921e+02
  3.910517e-01    1.313706e+02
  3.941677e-01    1.335509e+02
  3.972836e-01    1.342173e+02
  4.003996e-01    1.356279e+02
  4.035155e-01    1.375537e+02
  4.066315e-01    1.396051e+02
  4.097474e-01    1.409799e+02
  4.128634e-01    1.428841e+02
  4.159793e-01    1.453302e+02
  4.190953e-01    1.477311e+02
  4.222112e-01    1.497823e+02
  4.253272e-01    1.517775e+02
  4.284431e-01    1.528155e+02
  4.315591e-01    1.546095e+02
  4.346750e-01    1.567664e+02
  4.377910e-01    1.587866e+02
  4.409069e-01    1.609230e+02
  4.440229e-01    1.629564e+02
  4.471388e-01    1.645425e+02
  4.502548e-01    1.665514e+02
  4.533707e-01    1.688954e+02
  4.564867e-01    1.709655e+02
  4.596026e-01    1.725706e+02
  4.627186e-01    1.732583e+02
  4.658345e-01    1.746431e+02
  4.689505e-01    1.771805e+02
  4.720664e-01    1.796390e+02
  4.751824e-01    1.812579e+02
  4.782983e-01    1.828816e+02
  4.814143e-01    1.852679e+02
  4.845302e-01    1.872382e+02
  4.876462e-01    1.886992e+02
  4.907621e-01    1.890475e+02
  4.938781e-01    1.888487e+02
  4.969940e-01    1.899276e+02
  5.001100e-01    1.907008e+02
  5.032259e-01    1.905498e+02
  5.063419e-01    1.899210e+02
  5.094578e-01    1.903201e+02
  5.125738e-01    1.897159e+02
  5.156897e-01    1.898987e+02
  5.188057e-01    1.905233e+02
  5.219216e-01    1.912650e+02
  5.250376e-01    1.919953e+02
  5.281535e-01    1.927703e+02
  5.312695e-01    1.929300e+02
  5.343854e-01    1.930433e+02
  5.375014e-01    1.943593e+02
  5.406173e-01    1.951460e+02
  5.437333e-01    1.955262e+02
  5.468492e-01    1.952981e+02
  5.499652e-01    1.957387e+02
  5.530811e-01    1.963090e+02
  5.561971e-01    1.965993e+02
  5.593130e-01    1.958836e+02
  5.624290e-01    1.952803e+02
  5.655449e-01    1.951265e+02
  5.686609e-01    1.953393e+02
  5.717768e-01    1.955668e+02
  5.748928e-01    1.942630e+02
  5.780087e-01    1.930658e+02
  5.811247e-01    1.920771e+02
  5.842406e-01    1.919372e+02
  5.873566e-01    1.922871e+02
  5.904725e-01    1.921476e+02
  5.935885e-01    1.920331e+02
  5.967044e-01    1.916577e+02
  5.998204e-01    1.914531e+02
  6.029363e-01    1.909856e+02
  6.060523e-01    1.913335e+02
  6.091682e-01    1.911575e+02
  6.122842e-01    1.907497e+02
  6.154001e-01    1.896854e+02
  6.185161e-01    1.894599e+02
  6.216320e-01    1.894130e+02
  6.247480e-01    1.896526e+02
  6.278639e-01    1.898246e+02
  6.309799e-01    1.898362e+02
  6.340958e-01    1.897798e+02
  6.372118e-01    1.898874e+02
  6.403277e-01    1.900908e+02
  6.434437e-01    1.905473e+02
  6.465596e-01    1.911725e+02
  6.496756e-01    1.909131e+02
  6.527915e-01    1.908546e+02
  6.559075e-01    1.903271e+02
  6.590234e-01    1.899484e+02
  6.621394e-01    1.896657e+02
  6.652553e-01    1.899885e+02
  6.683713e-01    1.901662e+02
  6.714872e-01    1.897005e+02
  6.746032e-01    1.887749e+02
  6.777191e-01    1.882128e+02
  6.808351e-01    1.881753e+02
  6.839510e-01    1.881688e+02
  6.870670e-01    1.886727e+02
  6.901829e-01    1.885564e+02
  6.932989e-01    1.888173e+02
  6.964148e-01    1.884444e+02
  6.995308e-01    1.880742e+02
  7.026467e-01    1.875878e+02
  7.057627e-01    1.874574e+02
  7.088786e-01    1.868659e+02
  7.119946e-01    1.876665e+02
  7.151105e-01    1.876718e+02
  7.182265e-01    1.879041e+02
  7.213424e-01    1.879580e+02
  7.244584e-01    1.875516e+02
  7.275743e-01    1.863849e+02
  7.306903e-01    1.849971e+02
  7.338062e-01    1.845387e+02
  7.369222e-01    1.851363e+02
  7.400381e-01    1.860103e+02
  7.431541e-01    1.862049e+02
  7.462700e-01    1.858114e+02
  7.493860e-01    1.845077e+02
  7.525019e-01    1.839106e+02
  7.556179e-01    1.841609e+02
  7.587338e-01    1.843387e+02
  7.618498e-01    1.838400e+02
  7.649657e-01    1.831585e+02
  7.680817e-01    1.831483e+02
  7.711976e-01    1.837630e+02
  7.743136e-01    1.833335e+02
  7.774295e-01    1.829349e+02
  7.805455e-01    1.821043e+02
  7.836614e-01    1.818609e+02
  7.867774e-01    1.809384e+02
  7.898933e-01    1.810704e+02
  7.930093e-01    1.804377e+02
  7.961252e-01    1.801441e+02
  7.992412e-01    1.793670e+02
  8.023571e-01    1.795819e+02
  8.054731e-01    1.795828e+02
  8.085890e-01    1.795360e+02
  8.117050e-01    1.786563e+02
  8.148209e-01    1.777721e+02
  8.179369e-01    1.767713e+02
  8.210528e-01    1.768696e+02
  8.241688e-01    1.768385e+02
  8.272847e-01    1.772020e+02
  8.304007e-01    1.766399e+02
  8.335166e-01    1.760139e+02
  8.366326e-01    1.754879e+02
  8.397485e-01    1.751799e+02
  8.428645e-01    1.750123e+02
  8.459804e-01    1.748987e+02
  8.490964e-01    1.747115e+02
  8.522123e-01    1.745995e+02
  8.553283e-01    1.739243e+02
  8.584442e-01    1.734726e+02
  8.615602e-01    1.734092e+02
  8.646761e-01    1.728360e+02
  8.677921e-01    1.728700e+02
  8.709080e-01    1.720162e+02
  8.740240e-01    1.718608e+02
  8.771399e-01    1.718887e+02
  8.802559e-01    1.717267e+02
  8.833718e-01    1.708372e+02
  8.864878e-01    1.707457e+02
  8.896037e-01    1.703916e+02
  8.927197e-01    1.699961e+02
  8.958356e-01    1.693826e+02
  8.989516e-01    1.695667e+02
  9.020675e-01    1.688652e+02
  9.051835e-01    1.685617e+02
  9.082994e-01    1.681466e+02
  9.114154e-01    1.683028e+02
  9.145313e-01    1.675016e+02
  9.176473e-01    1.668259e+02
  9.207632e-01    1.662940e+02
  9.238792e-01    1.664476e+02
  9.269951e-01    1.663620e+02
  9.301111e-01    1.661718e+02
  9.332270e-01    1.656611e+02
  9.363430e-01    1.654519e+02
  9.394589e-01    1.649009e+02
  9.425749e-01    1.650267e+02
  9.456908e-01    1.644775e+02
  9.488068e-01    1.638624e+02
  9.519227e-01    1.632332e+02
  9.550387e-01    1.633407e+02
  9.581546e-01    1.628579e+02
  9.612706e-01    1.622037e+02
  9.643865e-01    1.613387e+02
  9.675025e-01    1.614042e+02
  9.706184e-01    1.611155e+02
  9.737344e-01    1.614700e+02
  9.768503e-01    1.612742e+02
  9.799663e-01    1.612018e+02
  9.830822e-01    1.612469e+02
  9.861982e-01    1.606856e+02
  9.893141e-01    1.595950e+02
  9.924301e-01    1.585401e+02
  9.955460e-01    1.581379e+02
  9.986620e-01    1.582585e+02
  1.001778e+00    1.580861e+02
  1.004894e+00    1.577747e+02
  1.008010e+00    1.568712e+02
  1.011126e+00    1.565920e+02
  1.014242e+00    1.559743e+02
  1.017358e+00    1.552410e+02
  1.020474e+00    1.546833e+02
  1.023590e+00    1.550053e+02
  1.026706e+00    1.549256e+02
  1.029821e+00    1.548243e+02
  1.032937e+00    1.544283e+02
  1.036053e+00    1.539493e+02
  1.039169e+00    1.529497e+02
