!  Sample measurement started  13-Dec-2018    17:08:19
!
!  Exposure time slow/fast (sec)  0.1  / 0.2
!  Thresholds 1/2/end   80001  81000  130000
!
!-------------------------------------------------------------------------------------------------------------
!  Time    Filename               Mode   Diode        IPetra   Nr 1   Temp 1   Expa 1   Nr 2   Temp 2   Expa 2
!
17:08:25   TiAlNi_1 1     1  slow   0     100.0714  unknown  unknown  unknown unknown  unknown  unknown
17:08:33   TiAlNi_1 2     1  slow   0     100.0441  unknown  unknown  unknown unknown  unknown  unknown
17:08:41   TiAlNi_1 3     1  slow   0     100.0188  unknown  unknown  unknown unknown  unknown  unknown
17:08:51   TiAlNi_1 4     1  slow   0     99.99245  unknown  unknown  unknown unknown  unknown  unknown
17:09:00   TiAlNi_1 5     1  slow   0     100.8308  unknown  unknown  unknown unknown  unknown  unknown
17:09:09   TiAlNi_1 6     1  slow   0     100.9367  unknown  unknown  unknown unknown  unknown  unknown
17:09:17   TiAlNi_1 7     1  slow   0     100.9154  unknown  unknown  unknown unknown  unknown  unknown
17:09:26   TiAlNi_1 8     1  slow   0     100.8902  unknown  unknown  unknown 2  29.38  0.02
17:09:34   TiAlNi_1 9     1  slow   0     100.867  4  29.32  -0.01 7  29.08  0.01
17:09:43   TiAlNi_1 10     1  slow   0     100.8386  10  28.77  -0.05 13  28.59  -0.09
17:09:53   TiAlNi_1 11     1  slow   0     100.8093  16  28.64  -0.1 20  28.42  -0.14
17:10:01   TiAlNi_1 12     1  slow   0     100.7857  22  28.68  -0.18 25  28.49  -0.21
17:10:10   TiAlNi_1 13     1  slow   0     100.7588  28  28.33  -0.22 31  28.30  -0.2
17:10:20   TiAlNi_1 14     1  slow   0     100.7284  34  28.08  -0.23 37  28.25  -0.25
17:10:29   TiAlNi_1 15     1  slow   0     100.6979  40  27.92  -0.24 44  27.87  -0.41
17:10:38   TiAlNi_1 16     1  slow   0     100.6711  47  27.64  -0.4 50  27.55  -0.43
17:10:48   TiAlNi_1 17     1  slow   0     100.6441  53  27.55  -0.44 56  27.98  -0.45
17:10:57   TiAlNi_1 18     1  slow   0     100.6175  59  29.47  -0.35 62  31.14  -0.25
17:11:05   TiAlNi_1 19     1  slow   0     100.5938  65  32.35  -0.15 68  34.20  -0.04
17:11:15   TiAlNi_1 20     1  slow   0     100.5644  71  35.53  0.08 74  37.03  0.22
17:11:24   TiAlNi_1 21     1  slow   0     100.5385  77  38.56  0.35 80  39.90  0.48
17:11:32   TiAlNi_1 22     1  slow   0     100.5142  83  41.61  0.61 86  42.92  0.74
17:11:41   TiAlNi_1 23     1  slow   0     100.4871  89  44.82  0.90 92  45.99  1.03
17:11:51   TiAlNi_1 24     1  slow   0     100.4562  95  47.27  1.17 98  49.00  1.32
17:12:00   TiAlNi_1 25     1  slow   0     100.431  101  50.60  1.46 104  52.00  1.63
17:12:08   TiAlNi_1 26     1  slow   0     100.4059  107  53.47  1.81 110  55.00  1.95
17:12:18   TiAlNi_1 27     1  slow   0     100.3762  113  56.56  2.03 116  57.95  2.16
17:12:27   TiAlNi_1 28     1  slow   0     100.3466  119  59.64  2.32 122  60.99  2.48
17:12:35   TiAlNi_1 29     1  slow   0     100.3227  125  62.49  2.63 128  64.18  2.80
17:12:44   TiAlNi_1 30     1  slow   0     100.2974  131  65.52  2.97 134  66.86  3.10
17:12:54   TiAlNi_1 31     1  slow   0     100.2703  137  68.54  3.30 140  70.02  3.45
17:13:03   TiAlNi_1 32     1  slow   0     100.2439  143  71.56  3.62 146  73.07  3.83
17:13:12   TiAlNi_1 33     1  slow   0     100.217  149  74.60  3.94 153  76.28  4.22
17:13:22   TiAlNi_1 34     1  slow   0     100.1852  156  78.04  4.36 159  79.57  4.53
17:13:30   TiAlNi_1 35     1  slow   0     100.1644  162  81.00  4.68 164  82.11  4.82
17:13:39   TiAlNi_1 36     1  slow   0     100.1366  167  83.59  4.96 170  84.96  5.15
17:13:48   TiAlNi_1 37     1  slow   0     100.1104  173  86.64  5.32 177  88.57  5.57
17:13:57   TiAlNi_1 38     1  slow   0     100.0805  179  89.55  5.67 183  91.46  5.91
17:14:06   TiAlNi_1 39     1  slow   0     100.054  185  92.51  5.99 189  94.63  6.24
17:14:16   TiAlNi_1 40     1  slow   0     100.0282  192  96.09  6.40 195  97.38  6.56
17:14:25   TiAlNi_1 41     1  slow   0     100.0005  198  99.01  6.76 201  100.62  6.94
17:14:34   TiAlNi_1 42     1  slow   0     100.4006  204  102.11  7.12 207  103.39  7.27
17:14:43   TiAlNi_1 43     1  slow   0     100.9555  210  105.05  7.43 213  106.40  7.62
17:14:52   TiAlNi_1 44     1  slow   0     100.9287  216  107.75  7.81 219  109.61  7.99
17:15:01   TiAlNi_1 45     1  slow   0     100.9021  222  111.02  8.14 225  112.46  8.32
17:15:10   TiAlNi_1 46     1  slow   0     100.8749  228  113.96  8.52 231  115.44  8.66
17:15:19   TiAlNi_1 47     1  slow   0     100.8473  234  116.75  8.90 237  118.44  9.02
17:15:28   TiAlNi_1 48     1  slow   0     100.82  240  120.05  9.21 243  121.58  9.37
17:15:38   TiAlNi_1 49     1  slow   0     100.7934  246  122.90  9.55 249  124.44  9.74
17:15:47   TiAlNi_1 50     1  slow   0     100.7668  252  126.27  9.96 255  127.59  10.10
17:15:56   TiAlNi_1 51     1  slow   0     100.7364  258  129.31  10.29 262  131.05  10.55
17:16:05   TiAlNi_1 52     1  slow   0     100.711  264  132.16  10.69 268  133.98  10.92
17:16:14   TiAlNi_1 53     1  slow   0     100.6828  270  134.87  11.03 274  136.89  11.27
17:16:23   TiAlNi_1 54     1  slow   0     100.6517  277  138.47  11.47 280  139.80  11.67
